"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"57562628";"01";"5755565";"";"";"43375";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 1";"2015";"2";"2015-07-27";"2015-12-19";"35T564";"5";"20";"REGULAR";"f";"2015-12-16 21:44:36.849";"f";"";"117";"CONSOLIDADA";"";"Presencial";
"57562629";"01";"5756937";"";"";"2055015";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 1";"2015";"2";"2015-07-27";"2015-12-19";"6T5634";"18";"20";"REGULAR";"f";"2015-12-18 10:29:02.113";"f";"";"72";"CONSOLIDADA";"";"Presencial";
"57562630";"01";"5756937";"";"";"2055019";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 1";"2015";"2";"2015-07-27";"2015-12-19";"2T3456";"13";"20";"REGULAR";"f";"2015-12-15 15:49:03.713";"f";"";"72";"CONSOLIDADA";"";"Presencial";
"57562630";"01";"5753872";"";"";"2055019";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 1";"2015";"2";"2015-07-27";"2015-12-19";"2T3456";"13";"20";"REGULAR";"f";"2015-12-15 15:49:03.713";"f";"";"72";"CONSOLIDADA";"";"Presencial";
"57562631";"01";"5756937";"";"";"2055021";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 1";"2015";"2";"2015-07-27";"2015-12-19";"24N12";"3";"20";"REGULAR";"f";"2015-12-16 11:39:51.237";"f";"";"78";"CONSOLIDADA";"";"Presencial";
"57562632";"01";"5756937";"";"";"42242";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 1";"2015";"2";"2015-07-27";"2015-12-19";"35N12";"16";"20";"REGULAR";"f";"2015-12-17 09:04:25.436";"f";"";"76";"CONSOLIDADA";"";"Presencial";
"57562633";"01";"21348";"";"";"2054974";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 3 - Des";"2015";"2";"2015-07-27";"2015-12-19";"24T56";"8";"20";"REGULAR";"f";"2015-12-14 10:30:52.566";"f";"";"68";"CONSOLIDADA";"";"Presencial";
"57562634";"01";"21348";"";"";"2054976";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 3 - Des";"2015";"2";"2015-07-27";"2015-12-19";"35T34";"5";"20";"REGULAR";"f";"2015-12-17 17:51:12.679";"f";"";"72";"CONSOLIDADA";"";"Presencial";
"57562635";"01";"21348";"";"";"2055057";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 3 - Des";"2015";"2";"2015-07-27";"2015-12-19";"24N12";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57562636";"01";"26206";"";"";"2055008";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 2";"2015";"2";"2015-07-27";"2015-12-19";"3N1234";"";"20";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57562637";"01";"26206";"";"";"43378";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 2";"2015";"2";"2015-07-27";"2015-12-19";"35T564";"5";"20";"REGULAR";"f";"2016-01-08 17:06:32.784";"f";"";"111";"CONSOLIDADA";"";"Presencial";
"57562638";"01";"5752709";"";"";"2054966";"GRADUAÇÃO";"Campus Central";"4F5";"2015";"2";"2015-07-27";"2015-12-19";"24T56";"11";"40";"REGULAR";"f";"2015-12-18 17:11:58.518";"f";"";"72";"CONSOLIDADA";"";"Presencial";
"57562639";"01";"5752709";"";"";"2054967";"GRADUAÇÃO";"Campus Central";"4F5";"2015";"2";"2015-07-27";"2015-12-19";"24T34";"12";"40";"REGULAR";"f";"2015-12-18 15:36:20.612";"f";"";"70";"CONSOLIDADA";"";"Presencial";
"57562640";"01";"5754328";"";"";"2055005";"GRADUAÇÃO";"Campus Central";"LABTEX Sala CAD/CAM";"2015";"2";"2015-07-27";"2015-12-19";"6T5634";"6";"20";"REGULAR";"f";"2015-12-18 12:06:22.884";"f";"";"72";"CONSOLIDADA";"";"Presencial";
"57562641";"01";"2296724";"";"";"43373";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 2";"2015";"2";"2015-07-27";"2015-12-19";"246T56";"9";"20";"REGULAR";"f";"2015-12-19 22:44:06.18";"f";"";"98";"CONSOLIDADA";"";"Presencial";
"57562642";"01";"63227";"";"";"43374";"GRADUAÇÃO";"Campus Central";"4F2";"2015";"2";"2015-07-27";"2015-12-19";"35T34";"11";"20";"REGULAR";"f";"2015-12-14 15:54:58.831";"f";"";"74";"CONSOLIDADA";"";"Presencial";
"57562643";"01";"5757655";"";"";"42228";"GRADUAÇÃO";"Campus Central";"4B4";"2015";"2";"2015-07-27";"2015-12-19";"6N123";"8";"20";"REGULAR";"f";"2015-12-18 19:32:26.794";"f";"";"54";"CONSOLIDADA";"";"Presencial";
"57562644";"01";"5754328";"";"";"2054975";"GRADUAÇÃO";"Campus Central";"LABTEX Sala CAD/CAM";"2015";"2";"2015-07-27";"2015-12-19";"2T3456";"7";"20";"REGULAR";"f";"2015-12-18 12:12:58.615";"f";"";"68";"CONSOLIDADA";"";"Presencial";
"57562645";"01";"5754328";"";"";"43371";"GRADUAÇÃO";"Campus Central";"4I5";"2015";"2";"2015-07-27";"2015-12-19";"35T56";"18";"45";"REGULAR";"f";"2015-12-18 11:56:43.215";"f";"";"76";"CONSOLIDADA";"";"Presencial";
"57562646";"01";"5757580";"";"";"2055004";"GRADUAÇÃO";"Campus Central";"LABTEX Sala CAD/CAM";"2015";"2";"2015-07-27";"2015-12-19";"35T34";"2";"20";"REGULAR";"f";"2015-12-18 10:55:53.784";"f";"";"84";"CONSOLIDADA";"";"Presencial";
"57562647";"01";"5757580";"";"";"43372";"GRADUAÇÃO";"Campus Central";"4I18";"2015";"2";"2015-07-27";"2015-12-19";"24N12";"28";"30";"REGULAR";"f";"2015-12-18 11:03:27.974";"f";"";"78";"CONSOLIDADA";"";"Presencial";
"57562648";"01";"5757580";"";"";"43379";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 3 - Des";"2015";"2";"2015-07-27";"2015-12-19";"5N1234";"20";"20";"REGULAR";"f";"2015-12-18 10:53:48.948";"f";"";"88";"CONSOLIDADA";"";"Presencial";
"57562649";"01";"5757580";"";"";"43434";"GRADUAÇÃO";"Campus Central";"4F3";"2015";"2";"2015-07-27";"2015-12-19";"24T56";"16";"20";"REGULAR";"f";"2015-12-18 10:58:07.434";"f";"";"78";"CONSOLIDADA";"";"Presencial";
